,winPercentage,conference,schoolType,marchMadness22,newCoach,stadiumCap,avgHomeATT,homeATTPercentage,fiveStarRecruits2020,fourStarRecruits2020,threeStarRecruits2020,recruitingClassPoints2020,fiveStarRecruits2021,fourStarRecruits2021,threeStarRecruits2021,recruitingClassPoints2021,fiveStarRecruits2022,fourStarRecruits2022,threeStarRecruits2022,recruitingClassPoints2022,transferClassPoints2022,fiveStarRecruits20-22,fourStarRecruits20-22,threeStarRecruits20-22,recruitingClassAveragePoints20-22,gamesWon,gamesPlayed,PPG,FGM,FGA,FGPercentage,TPM,TPA,TPPercentage,FTM,FTA,FTPercentage,OR,DR,TR,AST,STL,BLK,TO,PF,oppPPG,oppFGM,oppFGA,oppFGPercentage,oppTPM,oppTPA,oppTPPercentage,oppFTM,oppFTA,oppFTPercentage,oppOR,oppDR,oppTR,oppAST,oppSTL,oppBLK,oppTO,oppPF,diffTR,diffOR,diffTO,pace,offRating,defRating,ASTPercentage,TPreliance
Missouri,0.7142857143,SEC,Public,No,Yes,15061,11571,0.7682756789,0,0,1,14.63,0,0,5,46.36,0,1,2,48.98,25.37,0,1,8,36.65666667,25,35,78.9,28.2,59.8,47.2,9.3,25.8,36,13.2,17.4,75.8,8.9,21.4,30.2,16,10.2,2.7,11.1,18,74.4,25.5,57.1,44.6,8.8,25.3,35,14.7,19.5,75.1,12.7,24.8,37.4,14.6,6.2,2.3,16.9,16.3,-7.2,-3.8,-5.8,67.2,95.8,105.1,0.5673758865,0.4246575342
Kentucky,0.6470588235,SEC,Public,Yes,No,20545,19873,0.9672913118,2,4,0,70.33,3,1,0,69.44,2,1,1,67.92,12.38,7,6,1,69.23,22,34,74.5,27.3,60.1,45.4,6.3,18,34.7,13.6,19.2,70.6,13.9,25.5,39.4,15.1,6.4,3.7,11.8,16.1,67.8,24.3,56.7,42.9,6.5,20.1,32.4,12.6,17,74.4,8.5,21.5,30.1,11.8,6,2.2,11.1,17.1,9.3,5.4,0.7,69.2,114,95.6,0.5531135531,0.3103448276
Arkansas,0.6111111111,SEC,Public,Yes,No,19368,19051,0.9836327964,0,4,0,64.95,0,1,1,41.67,3,3,0,70.05,25.91,3,8,1,58.89,22,36,74.1,26.7,57.3,46.6,5,15.9,31.3,15.7,22.5,69.8,10.4,25,35.3,12.8,8.4,5.1,12.7,19.3,67.9,23.5,55.4,42.4,5.3,16.9,31.1,15.6,21.9,71.4,9.7,23.4,33,10.6,6.7,2.9,14.4,18.9,2.3,0.7,-1.7,72.2,104.5,94.7,0.4794007491,0.2568493151
Texas A&M,0.7142857143,SEC,Public,No,No,12989,9280,0.714450689,0,2,2,59.38,0,2,1,55.6,0,0,2,36.42,18.56,0,4,5,50.46666667,25,35,72.8,23.9,55.2,43.2,6.2,19,32.6,18.9,24.9,75.9,12.4,24.3,36.7,12.5,6.7,2.3,12.3,18.2,66.5,22.4,55,40.7,8.3,25.1,33,13.5,19.1,70.6,10.7,21.4,32.1,13.2,7.2,4,14,20,4.6,1.7,-1.7,68.2,104.2,95.5,0.5230125523,0.3450834879
Auburn,0.6176470588,SEC,Public,Yes,No,9121,9121,1,1,1,3,64.81,1,0,0,29.8,1,1,1,61.63,13.89,3,2,4,52.08,21,34,72.8,25.7,58.6,43.9,6.5,20.6,31.5,14.8,21.3,69.6,11.6,24.6,36.2,14.1,7.7,5.1,12.2,19.3,67.7,23.2,56.9,40.7,5.6,19.6,28.8,15.7,22.1,71,11.8,23.8,35.6,11.2,7,3.5,13,17.9,0.6,-0.2,-0.8,71.5,107.8,93.1,0.5486381323,0.3362068966
Vanderbilt,0.5945945946,SEC,Private,No,No,14316,8106,0.5662196144,0,0,3,44.51,0,1,2,49.38,0,3,2,57.44,8.4,0,4,7,50.44333333,22,37,71.9,25.1,59.1,42.5,8.4,24.9,33.6,13.3,18.6,71.2,11.3,24.9,36.2,11.6,5.1,4.5,10.8,16.3,71.5,25.8,60,43,6.7,21.6,31,13.2,18.7,70.6,11.7,25.3,37,12.8,5.7,2.6,10.3,17.5,-0.8,-0.4,0.5,68.8,102.2,97.6,0.4621513944,0.4300341297
Florida,0.4848484848,SEC,Public,No,Yes,10500,8125,0.7738095238,0,1,2,53.87,0,1,1,45.03,0,1,1,44.85,25.3,0,3,4,47.91666667,16,33,71.2,25.2,57.7,43.6,6.7,21.2,31.4,14.3,19.9,71.7,8.4,26.2,34.5,12.3,6.8,5.2,11.2,16.2,68.6,25.2,60.7,41.5,5.8,18.4,31.6,12.5,17.7,70.4,11.6,26.9,38.5,11.2,6.6,3.1,12.5,16.4,-4,-3.2,-1.3,66.9,104.8,99,0.4880952381,0.3532513181
Tennessee,0.6944444444,SEC,Public,Yes,No,21678,18781,0.8663622105,2,1,1,66.94,2,2,3,69.03,1,3,1,66.15,9.64,5,6,5,67.37333333,25,36,70.8,25.2,58.3,43.3,7.7,23.3,32.9,12.6,17.9,70.8,12.9,25.5,38.4,16.7,8.3,3.6,12,16.6,57.9,19.6,52.6,37.3,5.8,22,26.5,12.8,17.8,71.9,9.4,22.5,31.9,9.9,6.6,2.9,14.7,17.8,6.5,3.5,-2.7,68.6,106.3,90.9,0.6626984127,0.3969072165
Georgia,0.5,SEC,Public,No,Yes,10523,8244,0.7834267794,0,2,4,62.11,0,0,3,39.33,0,1,0,25.56,22.63,0,3,7,42.33333333,16,32,68.5,22.8,55.4,41,6.7,21.2,31.7,16.3,22.4,72.7,10.8,24.9,35.8,11.2,6.3,2.7,13.2,16.1,71.5,26.3,59.8,44,7,21.9,31.9,12,17.3,69.3,11,24.6,35.6,14.7,6.7,3.7,11.5,18.4,0.2,-0.2,1.7,69.8,100,112.5,0.4912280702,0.3850574713
LSU,0.4242424242,SEC,Public,Yes,Yes,13215,9318,0.705107832,1,3,2,66.97,1,2,2,65.96,0,3,1,62.61,24.09,2,8,5,65.18,14,33,67.6,23.3,56.8,41,7.2,22.1,32.7,13.8,19.2,72.2,11.4,23.6,35,12.3,6.8,2.7,12.3,17,70.7,25.2,56.3,44.7,8,23.4,34.3,12.3,17.1,72.2,9.6,24.5,34.1,13.1,6,3.6,11.6,16.5,0.9,1.8,0.7,70.4,102.3,89.4,0.5278969957,0.4014869888
Ole Miss,0.3636363636,SEC,Public,No,No,9500,6092,0.6412631579,0,1,1,41.93,0,1,3,52.88,0,2,2,57.23,15.54,0,4,6,50.68,12,33,67.5,24.7,58.6,42.2,6.2,20.3,30.3,11.9,17.1,69.5,12,23.8,35.8,13.1,7.1,3.7,12.2,15.9,69.1,24.8,56.8,43.7,6.6,19.5,33.8,12.8,17.2,74.5,10.1,24,34.2,13.9,7.1,2.8,12.1,15.3,1.6,1.9,0.1,66.9,100.6,101.2,0.5303643725,0.3345323741
Mississippi State,0.6176470588,SEC,Public,No,Yes,10575,7674,0.7256737589,0,1,4,54.08,0,1,2,49.85,0,0,1,22.98,20.7,0,2,7,42.30333333,21,34,65.7,24,56.9,42.1,5.2,19.7,26.6,12.5,19.3,64.7,12.9,24.9,37.9,14.2,8.6,3.4,12.8,15.2,61,21.4,54.4,39.4,7.4,23.8,31.1,10.7,15,71.6,10,23.5,33.5,12.5,6.3,3,14.3,17.1,4.4,2.9,-1.5,66.8,104.4,98.6,0.5916666667,0.2932330827
UofSC,0.34375,SEC,Public,No,Yes,18000,10470,0.5816666667,0,0,2,31.26,0,2,2,54.26,1,0,2,52.17,14.64,1,2,6,45.89666667,11,32,64.3,23.3,57.7,40.3,7.6,23.6,32.3,10.2,15.5,66.1,11.8,22.3,34.1,11.1,4.9,2.6,13.2,16,72.6,27,58.1,46.5,7.1,21.1,33.8,11.5,17.1,67.4,10.7,24.3,35,14.7,7.3,3.5,10.5,14.9,-0.9,1.1,2.7,72,96.4,97.9,0.4763948498,0.4214417745
